"raceid","round","circuitid","name","race_date"
1010,1,1,"Australian Grand Prix","2019-03-17"
1011,2,3,"Bahrain Grand Prix","2019-03-31"
1012,3,17,"Chinese Grand Prix","2019-04-14"
1013,4,73,"Azerbaijan Grand Prix","2019-04-28"
1014,5,4,"Spanish Grand Prix","2019-05-12"
1015,6,6,"Monaco Grand Prix","2019-05-26"
1016,7,7,"Canadian Grand Prix","2019-06-09"
1017,8,34,"French Grand Prix","2019-06-23"
1018,9,70,"Austrian Grand Prix","2019-06-30"
1019,10,9,"British Grand Prix","2019-07-14"
1020,11,10,"German Grand Prix","2019-07-28"
1021,12,11,"Hungarian Grand Prix","2019-08-04"
1022,13,13,"Belgian Grand Prix","2019-09-01"
1023,14,14,"Italian Grand Prix","2019-09-08"
1024,15,15,"Singapore Grand Prix","2019-09-22"
1025,16,71,"Russian Grand Prix","2019-09-29"
1026,17,22,"Japanese Grand Prix","2019-10-13"
1027,18,32,"Mexican Grand Prix","2019-10-27"
1028,19,69,"United States Grand Prix","2019-11-03"
1029,20,18,"Brazilian Grand Prix","2019-11-17"
1030,21,24,"Abu Dhabi Grand Prix","2019-12-01"
1031,1,70,"Austrian Grand Prix","2020-07-05"
1032,2,70,"Styrian Grand Prix","2020-07-12"
1033,3,11,"Hungarian Grand Prix","2020-07-19"
1034,4,9,"British Grand Prix","2020-08-02"
1035,5,9,"70th Anniversary Grand Prix","2020-08-09"
1036,6,4,"Spanish Grand Prix","2020-08-16"
1037,7,13,"Belgian Grand Prix","2020-08-30"
1038,8,14,"Italian Grand Prix","2020-09-06"
1039,9,76,"Tuscan Grand Prix","2020-09-13"
1040,10,71,"Russian Grand Prix","2020-09-27"
1041,11,20,"Eifel Grand Prix","2020-10-11"
1042,12,75,"Portuguese Grand Prix","2020-10-25"
1043,13,21,"Emilia Romagna Grand Prix","2020-11-01"
1044,14,5,"Turkish Grand Prix","2020-11-15"
1045,15,3,"Bahrain Grand Prix","2020-11-29"
1046,16,3,"Sakhir Grand Prix","2020-12-06"
1047,17,24,"Abu Dhabi Grand Prix","2020-12-13"
1051,20,78,"Qatar Grand Prix","2021-11-21"
1052,1,3,"Bahrain Grand Prix","2021-03-28"
1053,2,21,"Emilia Romagna Grand Prix","2021-04-18"
1054,3,75,"Portuguese Grand Prix","2021-05-02"
1055,4,4,"Spanish Grand Prix","2021-05-09"
1056,5,6,"Monaco Grand Prix","2021-05-23"
1057,6,73,"Azerbaijan Grand Prix","2021-06-06"
1058,8,70,"Styrian Grand Prix","2021-06-27"
1059,7,34,"French Grand Prix","2021-06-20"
1060,9,70,"Austrian Grand Prix","2021-07-04"
1061,10,9,"British Grand Prix","2021-07-18"
1062,11,11,"Hungarian Grand Prix","2021-08-01"
1063,12,13,"Belgian Grand Prix","2021-08-29"
1064,13,39,"Dutch Grand Prix","2021-09-05"
1065,14,14,"Italian Grand Prix","2021-09-12"
1066,15,71,"Russian Grand Prix","2021-09-26"
1067,16,5,"Turkish Grand Prix","2021-10-10"
1069,17,69,"United States Grand Prix","2021-10-24"
1070,18,32,"Mexico City Grand Prix","2021-11-07"
1071,19,18,"Sao Paulo Grand Prix","2021-11-14"
1072,21,77,"Saudi Arabian Grand Prix","2021-12-05"
1073,22,24,"Abu Dhabi Grand Prix","2021-12-12"
1074,1,3,"Bahrain Grand Prix","2022-03-20"
1075,2,77,"Saudi Arabian Grand Prix","2022-03-27"
1076,3,1,"Australian Grand Prix","2022-04-10"
1077,4,21,"Emilia Romagna Grand Prix","2022-04-24"
1078,5,79,"Miami Grand Prix","2022-05-08"
1079,6,4,"Spanish Grand Prix","2022-05-22"
1080,7,6,"Monaco Grand Prix","2022-05-29"
1081,8,73,"Azerbaijan Grand Prix","2022-06-12"
1082,9,7,"Canadian Grand Prix","2022-06-19"
1083,10,9,"British Grand Prix","2022-07-03"
1084,11,70,"Austrian Grand Prix","2022-07-10"
1085,12,34,"French Grand Prix","2022-07-24"
1086,13,11,"Hungarian Grand Prix","2022-07-31"
1087,14,13,"Belgian Grand Prix","2022-08-28"
1088,15,39,"Dutch Grand Prix","2022-09-04"
1089,16,14,"Italian Grand Prix","2022-09-11"
1091,17,15,"Singapore Grand Prix","2022-10-02"
1092,18,22,"Japanese Grand Prix","2022-10-09"
1093,19,69,"United States Grand Prix","2022-10-23"
1094,20,32,"Mexico City Grand Prix","2022-10-30"
1095,21,18,"Brazilian Grand Prix","2022-11-13"
1096,22,24,"Abu Dhabi Grand Prix","2022-11-20"
